DocumentID,Source,Content,Number;;;;
ds_1,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=96115,TỐ TỤNG DÂN SỰ,Bộ luật 92/2015/QH13;;;;
"ds_2,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=179420,""SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA BỘ LUẬT TỐ TỤNG DÂN SỰ, LUẬT TỐ TỤNG HÀNH CHÍNH,"",Luật 85/2025/QH15";;;;
ds_3,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=167216,PHÒNG THỦ DÂN SỰ,Luật 18/2023/QH15;;;;
"ds_4,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152951,""SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT ĐẦU TƯ CÔNG, ĐẦU TƯ THEO PHƯƠNG THỨC ĐỐI TÁC CÔNG TƯ,"",Luật 03/2022/QH15";;;;
"ds_5,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=46740,""SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT THI HÀNH ÁN DÂN SỰ"",Luật 64/2014/QH13";;;;
"ds_6,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=26674,""SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA BỘ LUẬT TỐ TỤNG DÂN SỰ"",Luật 65/2011/QH12";;;;
ds_7,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=12318,THI HÀNH ÁN DÂN SỰ,Luật 26/2008/QH12;;;;
ds_8,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=19408,VỀ THI HÀNH ÁN DÂN SỰ,Pháp lệnh 13/2004/PL-UBTVQH11;;;;
ds_9,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=95942,DÂN SỰ,Bộ luật 91/2015/QH13;;;;
ds_10,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=10814,THI HÀNH ÁN DÂN SỰ,Pháp lệnh Không số;;;;
"ds_11,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=10815,""CÔNG NHẬN VÀ THI HÀNH TẠI VIỆT NAM BẢN ÁN, QUYẾT ĐỊNH DÂN SỰ CỦA TOÀ ÁN NƯỚC NGOÀI"",Pháp lệnh Không số";;;;
ds_12,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=11599,HỢP ĐỒNG DÂN SỰ,Pháp lệnh Không số;;;;
ds_13,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=2306,THỦ TỤC GIẢI QUYẾT CÁC VỤ ÁN DÂN SỰ,Pháp lệnh 27-LCT/HĐNN8;;;;
ds_14,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=2311,THI HÀNH ÁN DÂN SỰ,Pháp lệnh 23-LCT/HĐNN8;;;;
ds_15,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=70292,VỀ VIỆC CÔNG BỐ LUẬT CHỦ TỊCH,Lệnh 26/2014/L-CTN;;;;
"ds_16,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=6629,""CỦA CHỦ TỊCH NƯỚC SỐ: 14/L-CTN NGÀY 26-4-1993 CÔNG BỐ PHÁP LỆNH CÔNG NHẬN TẠI VÀ THI HÀNH TẠI VIỆT NAM BẢN ÁN, QUYẾT ĐỊNH DÂN SỰ CỦA TOÀ ÁN NƯỚC NGOÀI"",Lệnh 14/L-CTN";;;;
ds_17,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=6630,CỦA CHỦ TỊCH NƯỚC SỐ 12-L/CTN NGÀY 26/4/1993 CÔNG BỐ PHÁP LỆNH TỔ CHỨC VIỆN KIỂM SÁT QUÂN SỰ,Lệnh 13/L-CTN;;;;
ds_18,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=167688,HƯỚNG DẪN ÁP DỤNG MỘT SỐ QUY ĐỊNH CỦA BỘ LUẬT DÂN SỰ VỀ TRÁCH NHIỆM BỒI THƯỜNG THIỆT HẠI NGOÀI HỢP ĐỒNG HỘI ĐỒNG THẨM PHÁN TÒA ÁN NHÂN DÂN TỐI CAO,Nghị quyết Số: 02/2022/NQ-HĐTP;;;;
ds_19,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=151626,HỘI ĐỒNG THẨM PHÁN TÒA ÁN NHÂN DÂN TỐI CAO,Nghị quyết 01/2021/NQ-HĐTP;;;;
ds_20,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=18128,DÂN SỰ,Bộ luật 33/2005/QH11;;;;
ds_21,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=167690,HƯỚNG DẪN ÁP DỤNG ĐIỀU 201 CỦA BỘ LUẬT HÌNH SỰ VÀ VIỆC XÉT XỬ VỤ ÁN HÌNH SỰ VỀ TỘI CHO VAY LÃI NẶNG TRONG GIAO DỊCH DÂN SỰ HỘI ĐỒNG THẨM PHÁN TÒA ÁN NHÂN DÂN TỐI CAO,Nghị quyết Số: 01/2021/NQ-HĐTP;;;;
